Il grasso è insano, fumare è insano	Il grasso è insano, fumare è insano <hr />  Fett&nbsp;ist ungesund, rauchen ist ungesund 
Tu vai a casa?	Tu vai a casa? <hr />  Du gehst nach Hause? 
Giolele aiuta a casa	Giolele aiuta a casa <hr />  Giolele hilft zu Hause 
Domani gioco a calcio perchè mi devo allenare tanto	Domani gioco a calcio perchè mi devo allenare tanto <hr />  Ich spiele morgen fußball weil ich viel trainieren muss 
Ti aiuto quando vuoi	Ti aiuto quando vuoi <hr />  Ich helfe dir, wann du willst 
Ricordi ancora il giorno in cui ci siamo incontrati per la prima volta?	Ricordi ancora il giorno in cui ci siamo incontrati per la prima volta? <hr />  Erinnerst du dich noch an den Tag, wann wir uns zum ersten Mal begegnet sind? 
Verbi separabili	Verbi separabili <hr />  Trennbare Verben 
Lei pulì la sua stanza prima che arrivassero i suoi ospiti	Lei pulì la sua stanza prima che arrivassero i suoi ospiti <hr />  Sie räumte ihr Zimmer auf, bevor ihre Gäste eintrafen 
Chi pulisce la griglia?	Chi pulisce la griglia? <hr />  Wer&nbsp;macht&nbsp;den Grill&nbsp;sauber? 
Puoi caricare la lavastoviglie?&nbsp;<div>(Nel senso di mettere le stoviglie all’interno)</div>	Puoi caricare la lavastoviglie?&nbsp;<div>(Nel senso di mettere le stoviglie all’interno)</div> <hr />  Kannst du die Spülmaschine&nbsp;einräumen? 
Mangi (tu) volentieri Brezeln?	Mangi (tu) volentieri Brezeln? <hr />  Isst&nbsp;du gerne Brezeln?&nbsp; 
A cosa corrisponde in italiano il tempo verbale Imperfekt?&nbsp;	A cosa corrisponde in italiano il tempo verbale Imperfekt?&nbsp; <hr />  Al passato remoto.<br>Imperfekt è sinonimo di Präteritum 
A che tempo verbale corrisponde il Präteritum?	A che tempo verbale corrisponde il Präteritum? <hr />  Al passato remoto.<br>Imperfekt è sinonimo di Präteritum.<br><br>Il Perfekt è il passato prossimo. 
Quando si una Imperfekt o Präteritum?	Quando si una Imperfekt o Präteritum? <hr />  <u>Non si usa nel parlato</u>, se non per i&nbsp;<u>verbi modali</u>, essere / avere e pochi altri.<br>É comune per tutti i verbi nello scritto, storie, articoli accademici.<br>Nel parlato si preferisce il Perfekt 
Anno scorso sono andato in vacanza in Germania	Anno scorso sono andato in vacanza in Germania <hr />  Im letzten Jahr machte ich Urlaub in Deutschland 
Avevi un cane da bambino?	Avevi un cane da bambino? <hr />  Hatten&nbsp;Sie als Kind einen Hund? 
Sei corso via molto velocemente	Sei corso via molto velocemente <hr />  Du&nbsp;liefst&nbsp;ganz schnell weg (weglaufen, laufen - lief - gelaufen) 
Ieri ero al cinema e ho mangiato popcorn	Ieri ero al cinema e ho mangiato popcorn <hr />  Gestern war ich im Kino und habe Popcorn gegessen 
Hai vissuto a Berlino?	Hai vissuto a Berlino? <hr />  Hast du in Berlin gewohnt? 
Quanto costa noleggiare una bici?	Quanto costa noleggiare una bici? <hr />  Wie viel kostet es, ein Fahrrad zu mieten? 
Cosa sono i Wäcke/Starke Verben?&nbsp;	Cosa sono i Wäcke/Starke Verben?&nbsp; <hr />  Quelli deboli si coniuganoregolarmente, quelli forti sono irregolari 
M... non&nbsp;vorrei&nbsp;farlo di nuovo	M... non&nbsp;vorrei&nbsp;farlo di nuovo <hr />  <div><div>Aber&nbsp;ich würde&nbsp;das nicht wiederholen.<br></div></div><div><br></div><div>In questa frase Werden è usato non come passivo ma come&nbsp;<u>Konjunktiv&nbsp;II</u></div> 
Come si forma il perfekt dei verbi regolari, 3 casi	Come si forma il perfekt dei verbi regolari, 3 casi <hr />  <ul><li>Prefisso GE e suffisso T:</li><ul><li>SAGEN – GESAGT</li><li>KAUFEN – GEKAUFT</li><li>LERNEN – GELERNT</li></ul><li>Se la radice del verbo termina in T o D aggiungiamo una E:</li><ul><li>ARBEITEN – GEARBEITET</li><li>WARTEN – GEWARTET</li><li>REDEN – GEREDET</li></ul><li>Se verbo finisce&nbsp; con -IEREN non usiamo il prefisso GE:</li><ul><li>TELEFONIEREN – TELEFONIERT</li><li>FUNKTIONIEREN – FUNKTIONIERT</li></ul></ul> 
Quando aiuti Paul? Lo ho già aiutato	Quando aiuti Paul? Lo ho già aiutato <hr />  Wann hilfst du Paul? Ich habe ihm shon geholfen 
"Quando chiudi la finestra? L'ho già chiusa"	"Quando chiudi la finestra? L'ho già chiusa <hr />  Wann shließt du das Fenster? Ich habe es shon geschlossen "
Cosa sonoi gemischte verben?	"Cosa sonoi gemischte verben? <hr />  I verbi misti sono misti in quanto al Perfekt:<br><ul><li style=""text-align: center; "">hanno suffisso -t come i verbi regolari</li><li style=""text-align: center; "">ma la radice del verbo cambia</li></ul><div>Normalmente i verbi che cambiano radice sono irregolari e tutti hanno -en come prefisso dell'imperfekt</div><div>Sono pochi:</div><div><img src=""paste-ea1834c0e4ef5c453c931f656f460b4dd44b6d39.jpg"" width=""340""><br></div> "
Dopo averci pensato a fondo, metto il piano in pratica	Dopo averci pensato a fondo, metto il piano in pratica <hr />  Nachdem ich lange nachgedacht habe, setze ich den Plan in die Tat um 
mettere in pratica	mettere in pratica <hr />  in&nbsp;die&nbsp;Tat&nbsp;umsetzen 
<div>pensare&nbsp;a&nbsp;una&nbsp;soluzione&nbsp;migliore<br></div>	<div>pensare&nbsp;a&nbsp;una&nbsp;soluzione&nbsp;migliore<br></div> <hr />  eine&nbsp;bessere&nbsp;Lösung&nbsp;überlegen<br>über eine bessere Lösung nachdenken 
"escalation di verbi per dire ""pensare"", ognuno indica un pensare sempre più intenso"	"escalation di verbi per dire ""pensare"", ognuno indica un pensare sempre più intenso <hr />  denken<br>nachdenken<br>ubërlegen "
L’arrivo (formale, NON ANKUNFT) della delegazione &nbsp;<div><br></div>	L’arrivo (formale, NON ANKUNFT) della delegazione &nbsp;<div><br></div> <hr />  Das Eintreffen der Delegation &nbsp; 
I nostri ospiti d’onore sono arrivati	I nostri ospiti d’onore sono arrivati <hr />  unsere Ehrengäste sind eingetroffen 
Aprite, in nome del governatore&nbsp;	Aprite, in nome del governatore&nbsp; <hr />  <div><div>Aufmachen, im Namen des Stadtrichters</div></div> 
Hai (tu) un carica cellulare?	Hai (tu) un carica cellulare? <hr />  Hast du ein Handy-Ladegerät? 
Mi sono dovuto sbottonare un paio di bottoni	Mi sono dovuto sbottonare un paio di bottoni <hr />  Ich musste ein paar Knöpfe&nbsp;aufmachen 
Con poche eccezioni, però, tutto è rimasto uguale	Con poche eccezioni, però, tutto è rimasto uguale <hr />  Bis auf einige Ausnahmen ist aber alles beim alten&nbsp;geblieben 
Molti sviluppano malattie del fegato inosservate	Molti sviluppano malattie del fegato inosservate <hr />  Viele erkranken unerkannt an der Leber 
Uomini e donne contraggono il Covid-19 in modo diverso?	Uomini e donne contraggono il Covid-19 in modo diverso? <hr />  Erkranken Männer und Frauen unterschiedlich an Covid-19? 
Io non ho paura, Gesù è con me	Io non ho paura, Gesù è con me <hr />  Ich fürchte mich nicht - Jesus! ist bei mir! 
Sono diventato grande, ma non ho smesso di avere paura del buio	Sono diventato grande, ma non ho smesso di avere paura del buio <hr />  Ich bin erwachsener geworden, aber ich habe nicht aufgehört, mich vor der Dunkelheit zu fürchten. 
"Sto cercando di godermi la Marvel, ma l'umorismo fa schifo"	"Sto cercando di godermi la Marvel, ma l'umorismo fa schifo <hr />  Ich versuche Marvel zu genießen, aber der Humor Ist unterirdisch (sehr schlecht) "
Differenza tra&nbsp;möchten e wollen	Differenza tra&nbsp;möchten e wollen <hr />  möchten: would like to (polite)<br>wollen: want&nbsp; 
Noi vogliamo la pizza!	Noi vogliamo la pizza! <hr />  Wir&nbsp;wollen&nbsp;die Pizza!<br>♀ die Pizza 
Mi piace il cibo asiatico, soprattutto tailandese	Mi piace il cibo asiatico, soprattutto tailandese <hr />  Ich mag asiatisches Essen, insbesondere thailändisch 
Vi piace il vino? (con Mögen)	Vi piace il vino? (con Mögen) <hr />  Mögt ihr Wein? 
Poi mi ha detto:&nbsp;dovresti firmare col tuo sangue.	Poi mi ha detto:&nbsp;dovresti firmare col tuo sangue. <hr />  Er hat mir dann gesagt:&nbsp;du sollst&nbsp;mit deinem Blut unterschreiben. 
"L'albero vuole vedere il sole"	"L'albero vuole vedere il sole <hr />  Der Baum will die Sonne sehen "
io devo andare in bagno! (informale)	io devo andare in bagno! (informale) <hr />  ich muss mal auf die toilette gehen 
Porta sempre con te un maglione o una giacca in autunno	Porta sempre con te un maglione o una giacca in autunno <hr />  Im Herbst immer einen Pulli oder eine Jacke mitnehmen 
Io ti piaccio più di quanto tu credi	Io ti piaccio più di quanto tu credi <hr />  Du magst mich&nbsp;viel mehr, als du glaubst. 
Lavori in corso	"Lavori in corso <hr />  <img alt=""In Arbeit – Tinker Bella's Shop"" src=""ed106c3bf892c6cd9112180eebc6ebebcecba193.gif""> "
"La strada era vuota, tranne per l'occasionale passante"	"La strada era vuota, tranne per l'occasionale passante <hr />  Die Straße war leer bis auf gelegentliche Fußgänger. "
il sangue scorre nelle vene	il sangue scorre nelle vene <hr />  das Blut fließt durch die Adern 
The weather tomorrow will be sunny with occasional rain	The weather tomorrow will be sunny with occasional rain <hr />  Das Wetter morgen wird sonnig sein mit gelegentlichem Regen 
Io mi rendo ridicolo, tu ti rendi ridicolo, lui si rende ridicolo	Io mi rendo ridicolo, tu ti rendi ridicolo, lui si rende ridicolo <hr />  Ich mache mich zum Affen,<br>Du machst dich zum Affen,<br>Er macht sich zum Affen 
Perchè lei riceve sempre un trattamento speciale? (idimatico)	Perchè lei riceve sempre un trattamento speciale? (idimatico) <hr />  Warum bekommt sie immer eine Extrawurst? 
Posso chiedere un trattamento speciale?	Posso chiedere un trattamento speciale? <hr />  Könne Ich eine Extrawurst verlangen?<br>♀die Wurst&nbsp; 
Vai questa sera alla festa di Lydia? É veramente una bomba&nbsp;	Vai questa sera alla festa di Lydia? É veramente una bomba&nbsp; <hr />  Gehst du heute Abend zu Lydias Party? Da steppt wirklich der Bär! 
"Dove c'è la festa a Vienna oggi? (idiomatico)"	"Dove c'è la festa a Vienna oggi? (idiomatico) <hr />  Wo steppt der Bär in Wien heute? "
É greco per me / Non sto capendo una mazza (idiomatico)	É greco per me / Non sto capendo una mazza (idiomatico) <hr />  Ich verstehe nur Bahnhof 
Chiaro come il cristallo / ovvio (idiomatico)	Chiaro come il cristallo / ovvio (idiomatico) <hr />  klar wie kloßbrühe 
pretendere una spiegazione	pretendere una spiegazione <hr />  eine&nbsp;Erklärung&nbsp;verlangen 
"C'è molto da fare"	"C'è molto da fare <hr />  Es gibt viel&nbsp;zu&nbsp;tun "
"Lui va all'areoporto"	"Lui va all'areoporto <hr />  er fährt&nbsp;zum&nbsp;Flughafen<br><br>fahren&nbsp;+&nbsp;zu&nbsp;+&nbsp;dative&nbsp;(to drive to a person or place with a name) "
"Io riordino/sistemo la soffitta, c'è molta polvere"	"Io riordino/sistemo la soffitta, c'è molta polvere <hr />  Ich räume den Dachboden auf, es gibt viel Staub "
"I miei 5 errori più grandi dell'anno scorso!"	"I miei 5 errori più grandi dell'anno scorso! <hr />  Meine 5 größten Fehler im letzten Jahr!&nbsp; "
<div>Alle famiglie di Aleppo, non è&nbsp;rimasto&nbsp;nulla<br></div>	<div>Alle famiglie di Aleppo, non è&nbsp;rimasto&nbsp;nulla<br></div> <hr />  Den Familien von Aleppo ist nichts&nbsp;geblieben 
Non essere ridicolo (idiom), è soloun raffeddore	Non essere ridicolo (idiom), è soloun raffeddore <hr />  Lass die Kirche im Dorf. Es ist nur eine Erkältung. 
Cambio costantemente i vestiti, mi incollo le unghie, le dipingo o penso a un altro coglione (idiom)	Cambio costantemente i vestiti, mi incollo le unghie, le dipingo o penso a un altro coglione (idiom) <hr />  Ich zieh mich ständig um, klebe meine Fingernägel wieder an, lackiere sie, oder ich denke an einen anderen Arsch mit Ohren.<br><br>(denken + an regge akk.) 
Mi piaci in qualche modo, tu completo idiota (idiom)	Mi piaci in qualche modo, tu completo idiota (idiom) <hr />  Du gefällst mir irgendwie, du Arsch mit Ohren. 
<div>Jocker è piuttosto&nbsp;imprevedibile e incline ad uccidere<br></div>	<div>Jocker è piuttosto&nbsp;imprevedibile e incline ad uccidere<br></div> <hr />  Jocker ist&nbsp;irgendwie&nbsp;unberechenbar und mordlustig. 
"<div><div>Senta,&nbsp;imbecille, non c'è nulla della mia malattia che lei mi possa dire, che io non sappia.</div></div>"	"<div><div>Senta,&nbsp;imbecille, non c'è nulla della mia malattia che lei mi possa dire, che io non sappia.</div></div> <hr />  Hören Sie zu, Sie&nbsp;Arschgeige, Sie können mir nichts über meine Krankheit sagen, was ich nicht längst weiß. "
Faccio solo una doccia e mi cambio	Faccio solo una doccia e mi cambio <hr />  Lass mich duschen und mich&nbsp;umziehen. 
Perchè è il meteo così imprevedibile?	Perchè è il meteo così imprevedibile? <hr />  Warum ist das Wetter so unberechenbar? 
Quando vado al bar io divento imprevedibile	Quando vado al bar io divento imprevedibile <hr />  wann ich gehe zur Bar, ich bekomme unberechenbar 
Leccami il culo!	Leccami il culo! <hr />  Leck mich im Arsch 
Mi dispaice, sono pazzo	Mi dispaice, sono pazzo <hr />  Tut mir Leid,&nbsp;ich spinne 
"Di cosa ti interessi?<br>Mi interessa l'informatica"	"Di cosa ti interessi?<br>Mi interessa l'informatica <hr />  Für&nbsp;was interessierst Du Dich?<br>Ich interessiere mich für Informatik "
"Che cos'è una settimana di progetto (~ autogestione) ? È una settimana in cui gli studenti si dedicano a un progetto interdisciplinare."	"Che cos'è una settimana di progetto (~ autogestione) ? È una settimana in cui gli studenti si dedicano a un progetto interdisciplinare. <hr />  Was ist eine&nbsp;Projektwoche? Es handelt sich um eine Woche, in der sich die Schüler:innen fächerübergreifend einem Projekt widmen.<br><br>(Schüler:innen): gneder neutral, plural "
Una striscia si muove sullo schermo	Una striscia si muove sullo schermo <hr />  Ein Streifen wandert über den Bildschirm 
fare escursione in montagna è faticoso	fare escursione in montagna è faticoso <hr />  Wandern in den Bergen ist anstrengend<br><br>in + dativ 
Ha conosciuto sua moglie un venerdì	Ha conosciuto sua moglie un venerdì <hr />  Er hat seine Frau an einem Freitag kennengelernt 
Mi ha accompagnato a casa	Mi ha accompagnato a casa <hr />  Sie hat mich nach hause gefahren 
un ristorante costoso	un ristorante costoso <hr />  ein teures Restaurant<br><br>☯ Restaurant 
Le priorità vengono definite ad un livello alquanto concettuale&nbsp;e multidisciplinare.	Le priorità vengono definite ad un livello alquanto concettuale&nbsp;e multidisciplinare. <hr />  Die Prioritäten sind ziemlich theoretisch und&nbsp;fächerübergreifend&nbsp;angelegt. 
regolare qualcosa in tutta Europa / a livello europeo	regolare qualcosa in tutta Europa / a livello europeo <hr />  etwas übergreifend für Europa regeln<br><br>übergreifend means overarching 
Quali materie non ti piacciono?	Quali materie non ti piacciono? <hr />  Welche Fächer hast du nicht gern? 
Godetevi la calma e&nbsp;dedicarsi&nbsp;ai tuoi interessi.	Godetevi la calma e&nbsp;dedicarsi&nbsp;ai tuoi interessi. <hr />  Genießen Sie die Ruhe und&nbsp;widmen&nbsp;Sie sich Ihren Interessen. 
<div><div><div><div>Le radici della pianta sono&nbsp;sotterranee</div></div></div></div>	<div><div><div><div>Le radici della pianta sono&nbsp;sotterranee</div></div></div></div> <hr />  Die Wurzeln der Pflanze sind unterirdisch 
restare in incognito	restare in incognito <hr />  unerkannt bleiben 
<div>I veterinari&nbsp;dedicano&nbsp;la propria vita agli animali<br></div>	<div>I veterinari&nbsp;dedicano&nbsp;la propria vita agli animali<br></div> <hr />  Tierärzte&nbsp;widmen&nbsp;ihr Leben den Tieren<br><br>☯ Das Leben 
i vizi hanno costantemente bisogno di soldi	i vizi hanno costantemente bisogno di soldi <hr />  die Laster brauchen ständig Geld 
"L'arrivo dell'inverno"	"L'arrivo dell'inverno <hr />  Die Ankunft des Winters<br><br>♀ Die Ankunft "
Mi sono nascosto quando arrivarono i poliziotti	Mi sono nascosto quando arrivarono i poliziotti <hr />  Ich habe mich versteckt, als die Cops&nbsp;eintrafen 
<div>Jo mi ha&nbsp;accompagnato&nbsp;oltre il confine<br></div>	<div>Jo mi ha&nbsp;accompagnato&nbsp;oltre il confine<br></div> <hr />  Jo hat mich über die Grenze&nbsp;gefahren 
Puoi staccare un materiale da questa carta:	Puoi staccare un materiale da questa carta: <hr />  Du kannst 1 Material von dieser Karte abhängen:<br><br>♀ Die Karte 
Bandisci le top 10 carte dalla cima del tuo Deck, coperte;	Bandisci le top 10 carte dalla cima del tuo Deck, coperte; <hr />  Verbanne die obersten 10 Karten verdeckt von deinem Deck<br><br>verbanne: imperativo presente seconda persona singolare 
se questa carta ha distrutto un mostro in battaglia:	se questa carta ha distrutto un mostro in battaglia: <hr />  falls diese Karte ein Monster durch Kampf zerstört hat:<br><br>☯ das Monster 
Se una carta che il tuo avversario possiede e comanda è bandita coperta,	Se una carta che il tuo avversario possiede e comanda è bandita coperta, <hr />  Falls eine Karte, die deinem Gegner gehört und die er besitzt, verdeckt verbannt wird,&nbsp; 
eccetto durante il Damage Step	eccetto durante il Damage Step <hr />  außer während des Damage Steps<br><br>während + genitiv (la maggior parte delle volte) 
La preposizione an regge dativo o accusativo?	"La preposizione an regge dativo o accusativo? <hr />  Entrambi, essa è una Wechselpräpositionen, a seconda dell'uso cambia caso "
Il caso solleva alcuni misteri	Il caso solleva alcuni misteri <hr />  Der Fall wirft einige Rätsel auf<br><br>☯ das Rätsel 
"L'incendio nell'azienda chimica"	"L'incendio nell'azienda chimica <hr />  Der Brand im Chemiekonzern "
Sto uscendo di casa	Sto uscendo di casa <hr />  ich gehe aus dem Haus 
"Un'ora al massimo e&nbsp;sarò a casa."	"Un'ora al massimo e&nbsp;sarò a casa. <hr />  Maximal eine Stunde und&nbsp;ich bin zu Hause. "
Sono a casa (senza usare casa)	Sono a casa (senza usare casa) <hr />  ich bin daheim 
La casa a schiera	La casa a schiera <hr />  Das&nbsp;Reihenhaus 
La casa singola (detached house)	La casa singola (detached house) <hr />  Das Einfamilienhaus 
Villetta bifamiliare	Villetta bifamiliare <hr />  Das&nbsp;Doppelhaus 
Il rustico fa parte di una piccola fattoria	Il rustico fa parte di una piccola fattoria <hr />  Das&nbsp;Bauernhaus&nbsp;ist Teil einer kleinen Farm<br><br>♀ die Farm 
Ferie in agriturismo	Ferie in agriturismo <hr />  Urlaub auf dem Bauernhof 
"Il mio appartamento è all'ultimo piano dell'edificio"	"Il mio appartamento è all'ultimo piano dell'edificio <hr />  Meine Wohnung ist im obersten Stockwerk/Stock des Gebäudes. "
Quando&nbsp;<i>einige&nbsp;</i>viene seguito dal plurale o singolare?	"Quando&nbsp;<i>einige&nbsp;</i>viene seguito dal plurale o singolare? <hr />  <div><ul><li>plurale se significa molti:&nbsp;<i>einige Änderungen,&nbsp;einige Beispiele</i>&nbsp;(alcune modifiche, alcuni esempi).</li><li>Singolare se significa qualche:&nbsp;<i>einige Zeit,&nbsp;einige Hoffnung</i> (un po' di tempo, un po' di speranza).</li><li>An exception is&nbsp;<i>einige Mal</i>&nbsp;as a colloquial form of&nbsp;<i>einige Male</i></li></ul></div> "
Che caso segue la preposizione zu?	"Che caso segue la preposizione zu? <hr />  Sempre il dativo, anche quando è moto a luogo e la regola vorrebbe l'accusativo "
Il matrimonio&nbsp;	Il matrimonio&nbsp; <hr />  die Hochzeit 
Fuori dai piedi&nbsp;	Fuori dai piedi&nbsp; <hr />  Aus dem Weg 
la chiave non funziona, la porta rimane aperta	la chiave non funziona, la porta rimane aperta <hr />  Der Schlüssel funktioniert nicht, die Tür bleibt offen 
un Episodio	un Episodio <hr />  ein Folge 
"Daniel ha un po' di mal di gola"	"Daniel ha un po' di mal di gola <hr />  Daniel hat ein bischen Halsschmerzen "
Daniel pensa che Zerocalcare sia molto divertente e anche molto emotivo	Daniel pensa che Zerocalcare sia molto divertente e anche molto emotivo <hr />  Daniel denkst dass Zerocalcare ist sehr witzig und auch ganz emotionale 
Lángos è un piatto popolare a Budapest	Lángos è un piatto popolare a Budapest <hr />  Lángos ist eine beliebte Speise in Budapest 
Daniel consiglia il film	Daniel consiglia il film <hr />  Daniel empfehlst den Film&nbsp; 
"I medici consigliano l'attività fisica"	"I medici consigliano l'attività fisica <hr />  Ärzte empfehlen körperliche Aktivität "
alzare la casa di un piano	alzare la casa di un piano <hr />  das Haus um ein Stockwerk erhöhen 
Il bagno è tra la cucina e il soggiorno	Il bagno è tra la cucina e il soggiorno <hr />  Das Bad liegt zwischen der Küche und dem Wohnzimmer<br><br>♀ die Küche<br>☯ Das Bad 
A cosa serve gerade?	A cosa serve gerade? <hr />  Gerade serve per formare la forma progressiva, corrispondente al gerundio.<br><br>Kannst du später nochmal anrufen? Ich&nbsp;koche&nbsp;gerade.<br>Puoi chiamare più tardi? Sto cucinando. 
Solo il bagno era stato completamente rifatto, con vasca in marmo	Solo il bagno era stato completamente rifatto, con vasca in marmo <hr />  Nur das Badezimmer war vollständig neu gemacht worden, mit einer Wanne aus Marmor 
I miei amici preferiscono un soggiorno confortevole in hotel al campeggio romantico.	I miei amici preferiscono un soggiorno confortevole in hotel al campeggio romantico. <hr />  Meine Freunde ziehen eine bequeme Hotelübernachtung romantischem Zelten vor.<br><br>♀ die&nbsp;Übernachtung<br>☯ das Zelten: campeggio&nbsp;<br>☯ das Zelte: tenda&nbsp; 
Trovo la mia camera confortevole	Trovo la mia camera confortevole <hr />  Ich finde mein Zimmer bequem<br><br>☯ das Zimmer 
Jens, facciamo sesso (espressione gergale)	Jens, facciamo sesso (espressione gergale) <hr />  Jens, lass&nbsp;uns&nbsp;vögeln 
Il cassetto è di legno	Il cassetto è di legno <hr />  Die Schublade ist aus Holz<br><br>♀ die Schublade 
<div>Gli Youtuber di successo sono interattivi,&nbsp;divertenti&nbsp;e onesti<br></div>	<div>Gli Youtuber di successo sono interattivi,&nbsp;divertenti&nbsp;e onesti<br></div> <hr />  Erfolgreiche Youtuber sind interaktiv,&nbsp;witzig&nbsp;und ehrlich 
Alzare i prezzi	Alzare i prezzi <hr />  die Preise erhöhen 
Inoltre, dopo la guerra, le famiglie ebree avevano altre preoccupazioni oltre a chiedere giustizia.	Inoltre, dopo la guerra, le famiglie ebree avevano altre preoccupazioni oltre a chiedere giustizia. <hr />   Dazu kommt, daß die jüdischen Familien nach dem Krieg andere Sorgen hatten, als Gerechtigkeit zu verlangen.&nbsp; 
Il tappeto è sotto la sedia	Il tappeto è sotto la sedia <hr />  Der Teppich liegt unter dem Stuhl 
La lampada è sopra la scrivania	La lampada è sopra la scrivania <hr />  Die Lampe ist über dem Schreibtisch 
Abbiamo molti bidoni della spazzatura nel mondo, ma una sola natura	Abbiamo molti bidoni della spazzatura nel mondo, ma una sola natura <hr />  Wir haben viele Abfalleimer auf der Welt, aber nur eine Natur<br><br>♀ die Natur<br>♀ die Welt 
La mia camera da letto è sul lato della strada della casa	La mia camera da letto è sul lato della strada della casa <hr />  Mein Schlafzimmer liegt an der Straßenseite des Hauses<br><br>♀ die Seite<br>an + dativ = posizione 
"Abbiamo fatto realizzare l'armadio dal falegname."	"Abbiamo fatto realizzare l'armadio dal falegname. <hr />  Den Schrank haben wir uns vom Tischler machen lassen "
Coniugazione treffen (terza persona presente, Präeterium, Perfekt)	Coniugazione treffen (terza persona presente, Präeterium, Perfekt) <hr />  sie trifft<br>traf<br>getroffen 
Io preferisco le vacanze al mare	Io preferisco le vacanze al mare <hr />  Ich ziehe&nbsp;Urlaub&nbsp;am&nbsp;Meer vor 
